org_name,website,stage,check_size,areas,twitter_handle,pitch_submission_url,contact_page_url,source,outreach_status
"Ascend Venture Capital","https://www.ascend.vc","Pre-seed","$500,000","SMB SaaS/AI; AI/ML Infrastructure; Data Moats; B2B Enterprise SaaS/AI; DeepTech; Defense; Robotics","","","","airtable",pending
"Authentic","","Pre-seed, Seed, Series A","$50K","","","","","mercury",pending
"Avalanche VC","http://www.avalanche.vc/","Pre-seed, Seed","$100,000 - $250,000","Ownership Economy; Vertical AI/SaaS; Workforce Development; GovTech","","","","airtable",pending
"Avesta Fund","https://www.avesta.fund/","Pre-seed, Seed","$750,000 - $5,000,000","ClimateTech; Sustainability; Energy; Workforce Development; Edtech; AgTech","","","","airtable",pending
"Bain Capital Ventures","https://baincapitalventures.com","Seed - Series B+","","","BainCapVC","","","vcsheet",pending
"Basis Set Ventures","https://basisset.com","Pre-Seed - Series A","","","basisset","","","vcsheet",pending
"BBQ Capital","https://www.bbq.capital/","Pre-seed, Seed","$25,000 - $250,000","Agnostic; Hardtech; Fintech; Robotics; SMB SaaS/AI; SpaceTech","","","","airtable",pending
"BDev Ventures","","Seed VC","","","","","","local",pending
"Beta Boom","","Seed VC","","","","","","local",pending
"Black Flag","https://blackflag.vc","Pre-Seed - Seed","","","BlackFlagVC","","","vcsheet",pending
"Bling Capital","","Pre-seed, Seed, Series A","$500K-$1M","","","","","mercury",pending
"Bloomberg Beta","https://bloombergbeta.com","Pre-Seed - Series A","","","bloombergbeta","","","vcsheet",pending
"BoxOne Ventures","https://boxone.xyz","Seed - Series A","","","","","","vcsheet",pending
"BuySellAds","","Seed VC","","","","","","local",pending
"Cacti","","Pre-seed, Seed","$50K-$100K","","","","","mercury",pending
"Caffeinated Capital","https://caffeinatedcapital.com","Pre-Seed - Series B+","","","caffeinatedcap","","","vcsheet",pending
"CDP Venture Capital","https://cdpventurecapital.it","Pre-Seed - Seed","","","","","","vcsheet",pending
"CoFound Partners","https://cofoundpartners.com","Pre-Seed - Seed","","","CoFoundPartners","","","vcsheet",pending
"Collaborative Fund","https://collabfund.com","Unknown","","","collabfund","","","vcsheet",pending
"Conscience","","Pre-seed, Seed","$100K-$500K","","","","","mercury",pending
"Conviction","https://conviction.com","Pre-Seed - Series A","","","saranormous","","","vcsheet",pending
"Correlation Ventures","https://correlationvc.com","Seed - Series B+","","","Correlationvc","","","vcsheet",pending
"Costanoa Ventures","https://costanoavc.com","Pre-Seed - Series A","","","costanoavc","","","vcsheet",pending
"Cowboy Ventures","https://cowboy.vc","Pre-Seed - Series A","$100K-$2M","","cowboyvc","","","vcsheet,mercury",pending
"Creative Curve","","Pre-seed, Seed","$150K","","","","","mercury",pending
"Creative Ventures","https://creativeventures.vc","Seed - Series A","","","creative_vc","","","vcsheet",pending
"CreativeCo","","Pre-seed, Seed, Series A","$100K-$500K","","","","","mercury",pending
"DCVC","https://dcvc.com","Seed - Series A","","","dcvc","","","vcsheet",pending
"Deep Checks","https://deepchecks.vc","Pre-Seed - Seed","","","deepchecksvc","","","vcsheet",pending
"Dorm Room Fund","https://dormroomfund.com","Unknown","","","DormRoomFund","","","vcsheet",pending
"Dropbox Ventures","https://dropbox.com/ventures","Seed - Series A","","","Dropbox","","","vcsheet",pending
"Efficient VC","","Pre-seed, Seed, Series A","$10K-$50K","","","","","mercury",pending
"Emerson Collective","https://emersoncollective.com","Pre-Seed - Seed","","","EmCollective","","","vcsheet",pending
"Engineering Capital","https://engineeringcapital.com","Pre-Seed - Series A","","","ashmeetsidana","","","vcsheet",pending
"Essence VC","https://essencevc.fund","Pre-Seed - Series A","","","","","","vcsheet",pending
"Everybody Ventures","","Pre-seed, Seed, Series A","$100K-$500K","","","","","mercury",pending
"Felicis Ventures","https://felicis.com","Seed - Series B+","$500K-$30M","","felicis","","","vcsheet,mercury",pending
"Fin Capital","","Seed VC","","","","","","local",pending
"First Star Ventures","https://firststar.vc","Pre-Seed - Seed","","","FirstStarVC","","","vcsheet",pending
"FJ Labs","","Seed VC","","","","","","local",pending
"Floodgate","https://floodgate.com","Pre-Seed - Seed","$500K-$5M","","floodgatefund","","","vcsheet,mercury",pending
"Forum Ventures","","Seed VC","","","","","","local",pending
"Future Ventures","https://future.ventures","Pre-Seed - Series A","","","FutureJurvetson","","","vcsheet",pending
"GGV Capital","https://ggvc.com","Seed - Series B+","","","ggvcapital","","","vcsheet",pending
"GIT1K","","Seed VC","","","","","","local,local",pending
"Golden Section Ventures","","Seed VC","","","","","","local",pending
"Google Ventures","https://gv.com","Unknown","","","gvteam","","","vcsheet",pending
"Gradient Ventures","https://gradient.com","Pre-Seed - Series A","","","gradientvc","","","vcsheet",pending
"Hack VC","https://hack.vc","Pre-Seed - Series A","","","hack_vc","","","vcsheet",pending
"Harpoon Ventures","https://harpoon.vc","Pre-Seed - Series A","","","HarpoonVentures","","","vcsheet",pending
"Hawke Ventures","","Seed VC","","","","","","local",pending
"Heavybit","https://heavybit.com","Pre-Seed - Series A","","","heavybit","","","vcsheet",pending
"Hyperplane Venture Capital","https://hyperplane.vc","Seed - Series B+","","","hyperplanevc","","","vcsheet",pending
"Immeasurable","","Pre-seed, Seed","$50K","","","","","mercury",pending
"Innovating Capital","https://innovating.capital","Pre-Seed - Series A","","","InnovatingCap","","","vcsheet",pending
"Interlace Ventures","","Seed VC","","","","","","local",pending
"irrvrntVC","","Pre-seed, Seed","$100K-$500K","","","","","mercury",pending
"Iterative VC","","Pre-seed, Seed, Series A","$150K","","","","","mercury",pending
"IVP","","Seed VC","","","","","","local",pending
"Julian Capital","https://julian.capital","Pre-Seed - Seed","","","julian","","","vcsheet",pending
"Kapor Capital","","Pre-seed, Seed","$250K-$1M","","","","","mercury",pending
"LDV Capital","https://ldv.co","Pre-Seed - Seed","","","ldvcapital","","","vcsheet",pending
"Long Journey Ventures","https://longjourney.vc","Pre-Seed - Series A","","","longjourneyvc","","","vcsheet",pending
"Looking Glass Capital","","Pre-seed, Seed","$350K","","","","","mercury",pending
"Mango Capital","https://mangocap.com","Pre-Seed - Series A","","","","","","vcsheet",pending
"Matchstick Ventures","https://matchstick.vc","Pre-Seed - Seed","","","MatchstickVC","","","vcsheet",pending
"Matrix","","Seed VC","","","","","","local",pending
"Maverick Ventures","https://maverickventures.com","Seed - Series B+","","","","","","vcsheet",pending
"Mento VC","","Pre-seed, Seed, Series A","$100K-$500K","","","","","mercury",pending
"Moxxie Ventures","","Seed VC","","","","","","local",pending
"New Age Ventures","","Seed VC","","","","","","local",pending
"Night Ventures","","Pre-seed, Seed","$100K-$500K","","","","","mercury",pending
"OpenAI Startup Fund","https://openai.fund","Pre-Seed - Series B+","","","openai","","","vcsheet",pending
"OSS Capital","https://OSS.Capital","Seed - Series B+","","","OSSCapital","","","vcsheet",pending
"Outset Capital","https://outsetcapital.com","Pre-Seed - Series A","","","outsetcap","","","vcsheet",pending
"PandaDoc","","Seed VC","","","","","","local",pending
"Partech Ventures","","Seed VC","","","","","","local",pending
"Pear","","Pre-seed, Seed, Series A","$100K-$500K","","","","","mercury",pending
"Pebblebed","https://pebblebed.com","Pre-Seed - Series A","","","pebble_bed","","","vcsheet",pending
"Plug & Play","","Seed VC","","","","","","local",pending
"Presence Capital","","All stages","$25K-$100K","","","","","mercury",pending
"Product","","Pre-seed, Seed, Series A","$25K-$150K","","","","","mercury",pending
"Quiet Capital","https://quiet.com","Pre-Seed - Series A","","","QuietCapital","","","vcsheet",pending
"Radical Ventures","https://radical.vc","Pre-Seed - Series A","","","radicalvcfund","","","vcsheet",pending
"Remote First Capital","","Pre-seed, Seed","$100K","","","","","mercury",pending
"Right Side Capital Management","","Seed VC","","","","","","local",pending
"Room40 Ventures","","Pre-seed, Seed, Series A","$300K-$2M","","","","","mercury",pending
"Root Ventures","https://root.vc","Seed - Series B+","","","rootvc","","","vcsheet",pending
"SB Opportunity Fund","https://theopportunityfund.com","Pre-Seed - Series A","","","OpportunityFund","","","vcsheet",pending
"SciFi","","Pre-seed, Seed","$300K-$1M","","","","","mercury",pending
"SignalFire","","Seed VC","","","","","","local",pending
"Story Ventures","https://storyventures.vc","Pre-Seed - Seed","","","storyvc","","","vcsheet",pending
"SuperAngel.Fund","","Pre-seed, Seed, Series A","$50K-$100K","","","","","mercury",pending
"SV Angel","","Pre-seed, Seed","$100K-$500K","","","","","mercury",pending
"Switchboard Ventures","","Pre-seed, Seed","$25K","","","","","mercury",pending
"TCV","","Seed VC","","","","","","local",pending
"The Fund","","Pre-seed, Seed","$50K-$100K","","","","","mercury",pending
"Thomvest Ventures","","Seed VC","","","","","","local",pending
"Toyota Ventures","https://toyota.ventures","Seed - Series A","","","toyota_ventures","","","vcsheet",pending
"True Wealth Ventures","","Seed","$500K-$1M","","","","","mercury",pending
"Uncork Capital","https://uncorkcapital.com","Seed - Series B+","$750K-$2M","","uncorkcap","","","vcsheet,mercury",pending
"VentureSouq","https://venturesouq.com","Pre-Seed - Series B+","","","VentureSouq","","","vcsheet",pending
"Verbatim","","Pre-seed, Seed, Series A","$1K-$50K","","","","","mercury",pending
"Village Global","","Pre-seed, Seed","$500K-$1M","","","","","mercury",pending
"Voyager","https://voyagervc.com","Pre-Seed - Series A","","","voyagervc","","","vcsheet",pending
"Wing Venture Capital","https://wing.vc","Pre-Seed - Series B+","","","wing_vc","","","vcsheet",pending
"Zetta Venture Partners","https://zettavp.com","Seed - Series B+","","","zettaventures","","","vcsheet",pending
