category,org,program_or_office,person_or_role,email,source_url,channel_type,notes
partnership,Altana AI,Partner with Altana,,,https://altana.ai/partner,portal,"Dedicated partner-program page: 'We partner with the technology providers, advisors, and industry leaders... Tell us how you'd like to work together, and our partnerships team will be in touch.' Form-only; no partner email displayed (only footer legal/security/press mailboxes)."
partnership,Amentum,Amentum contact / Partnerships,Capability-specific contact forms,,https://www.amentum.com/contact-us/,portal,Amentum's 'Partners' navigation link points at this contact page (tabbed by capability). The ONLY mailboxes published are employeeverification@amentum.com and siv@amentum.com (Afghan SIV) - both irrelevant. No innovation or partner email exists. Site is Cloudflare-blocked; read via reader proxy.
partnership,Anduril Industries,Lattice Partner Program,General contact,contact@anduril.com,https://www.anduril.com/lattice/lattice-partner-program,email,Anduril site-wide published contact address (footer/site settings); Lattice Partner Program page routes inquiries here - no dedicated partner mailbox published
partnership,Booz Allen Hamilton,Tech Ecosystem - Partner Ecosystem,,,https://www.boozallen.com/expertise/tech-ecosystem/partner-ecosystem.html,portal,"Booz Allen partner ecosystem program page; intake via form, no public email published"
partnership,CACI,DarkBlue Intelligence Suite - Explore a partnership,-,,https://www.caci.com/darkblue/explore-partnership,portal,CACI's partner-facing innovation/product line. No email published; page uses an embedded HubSpot form (formId 8c0e49a5-1f4e-4ce3-87ad-1a1f56055527) as the partnership intake. (CACI has no /innovation or /ventures page - both 404.)
partnership,CACI,Partners,,,https://www.caci.com/partners,portal,CACI partner page; no public email published
partnership,Deloitte,Deloitte US Government & Public Services (GPS),"Jennifer J. Walcott, US National GPS Industry Leader",jwalcott@deloitte.com,https://www.deloitte.com/us/en/Industries/government-public.html,email,"Published mailto on Deloitte's federal/government-public page for the US National GPS Industry Leader (Deloitte Consulting LLP). Senior federal leadership contact, not the Deloitte Ventures/ecosystem partner program."
partnership,Deloitte,Deloitte Ecosystems & Alliances,Alliance program page,,https://www.deloitte.com/us/en/alliances.html,portal,Deloitte's ecosystem/alliances overview publishes no partner mailbox - only the shared webmaster/contact-form address. No Deloitte Ventures contact page found (candidate URLs 404).
partnership,Govini (now rebranded Air),Corporate contact,,,https://www.govini.com/contact,portal,Contact form only; no public email
partnership,Govini (now rebranded Air),Contact / partnerships,,,https://govini.com/contact,portal,"IMPORTANT: Govini's site now announces 'Govini is now Air' (same domain). Contact page is a pure web form (First/Last name, Work email, Company, Phone, 'How can we help?') - no email published. The only email-shaped string in the HTML is the form placeholder 'email@company.com', which is NOT a real address and is not reported. /partners/ returns 404."
partnership,HII (Huntington Ingalls Industries),HII Australia Partner Registration,-,,https://www.hii.com/hii-australia/partner-registration,portal,"No email published (page is JS-rendered). HII has NO innovation or ventures page - https://hii.com/innovation is listed in HII's sitemap but returns 404 - so partner registration is the closest published partner channel; the other HII partner route is the supplier/small-business 'Become A Partner' page, which is out of scope."
partnership,ICF,ICF Technology Partner Ecosystem,General contact form,,https://www.icf.com/contact-us,portal,ICF publishes NO partner or innovation email. The partner ecosystem page (icf.com/company/about/partners/partnership-ecosystem) routes to this general Contact Us form with a 'Reason for contacting ICF' selector. Site is an Angular app; emails are not in page source.
partnership,Iron Bow,Partner Alliance Program,Partner alliance team,partneralliance@ironbow.com,https://www.ironbow.com/partners,email,Dedicated partner-alliance mailbox published as the 'Let's Talk' mailto on the Partner Alliance page; federal integrator/reseller channel for small software vendors
partnership,KBR,KBR corporate contact,Contact form only,,https://www.kbr.com/en/contact-us,portal,KBR's contact page is form-only - no email anywhere in the fetched page text. Site returns 406/0 bytes to plain curl and had to be read via the reader proxy. No innovation/technology-partnership mailbox found.
partnership,Kodiak Robotics,Defense business development,Defense team,defense@kodiak.ai,https://kodiak.ai/contact,email,Dedicated defense BD mailbox published as a mailto link on the contact page
partnership,Leidos,Leidos Australia Partner Network (APN),Elizabeth Naylor - Head of Industry Capability and Engagement,elizabeth.naylor@au.leidos.com,https://www.leidos.com/company/global/australia/partner-network,email,"Page states Leidos 'encourages Industry to ... directly contact Head of Industry Capability and Engagement - Elizabeth Naylor with your capability details.' Genuine partner-network/EOI intake mailbox. CAVEAT: Australian Defence industry capability partnering (supply-chain EOI), not US tech scouting; note the au.leidos.com domain."
partnership,Leidos,Leidos Australia Partner Network (APN) registration,-,,https://www.leidos.com/company/global/australia/partner-network,portal,Registration portal for Australian industry EOIs; the 'Register Interest' button posts to a Microsoft Forms response page (forms.office.com ResponsePage id=UM9svJ6wTkydH8ALK5hB9IKDJx43yd9BkRBOO9PnZ6BUM0Q5SjlaMFEzUVlSQ0RMTVVYRzI1VlM4WCQlQCN0PWcu). Partner intake alongside the Naylor email.
partnership,Leidos,Leidos partner / alliance program,,,https://www.leidos.com/company/partners,portal,Leidos partner and alliance page; no public email published
partnership,ManTech,ManTech Our Partners,Partner showcase page,,https://www.mantech.com/our-partners/,portal,ManTech partner page lists partner logos/pages only (e.g. Google Cloud partnership) - no partner-program or innovation mailbox published anywhere on mantech.com.
partnership,Maximus,Strategic Alliance Partnerships,'Join our alliance partners' intake form,,https://app.smartsheet.com/b/form/d8da4c11b6a1458db9fbb25c9dca9735,portal,"Smartsheet intake form linked from maximus.com/alliance-partnerships for technology alliance partners (AWS, Salesforce, Genesys, ServiceNow, SuccessKPI). No email published."
partnership,MITRE,Bridging Innovation,,,https://www.mitre.org/our-impact/partnerships/bridging-innovation/contact-us,portal,"MITRE Bridging Innovation startup/tech-scouting contact form (JS form, no email published)"
partnership,MITRE,MITRE Partnership Network,,,https://mpn.mitre.org/,portal,MITRE Partnership Network partner portal login
partnership,MITRE,Partnerships office,,,https://www.mitre.org/our-impact/partnerships,portal,MITRE partnership inquiries routed to the /contact-us form; no public mailbox
partnership,Northrop Grumman,Northrop Grumman Business Ventures,,,https://www.northropgrumman.com/who-we-are/business-ventures,portal,NG Business Ventures page; no public email - routes to the general contact form
partnership,Palantir Technologies,Partnership Vanguard / partner network (commercial + USG + technical + international),Partner intake (no email published),,https://www.palantir.com/partnerships/,portal,"Main partner-overview page for Palantir's 'Vanguard' partner network (Commercial, US Government, Technical, International). Page publishes NO email and no visible application form; it is a navigational/overview page. No partner mailbox found anywhere on palantir.com."
partnership,Palantir Technologies,FedStart (accreditation-as-a-service for ISVs/partners),FedStart intake,,https://www.palantir.com/offerings/fedstart/,portal,"FedStart page embeds an on-page 'Contact Us' form ('Business Email', 'Company Name', 'Additional Context', federal-cloud-accreditation and direct-contracting questions) - this is the practical partner/ISV intake for FedStart. No email address published."
partnership,Parsons,The Parsons Technology Partner Network,-,,https://www.parsons.com/partners/,portal,No email published. Page states 'We're always looking for innovative and diverse technology companies to join the Parsons Technology Partner Network. Complete the inquiry form below to submit a request.' Also describes the PALADIN Lab partner programme. Form is embedded (no standalone URL).
partnership,Peraton,Peraton Partnerships (Technology Alliance Partners / Emerging Partners),-,,https://www.peraton.com/company/partnerships/,portal,No email published. Page covers 'Technology Alliance Partners' and 'Emerging Partners' ('Ready to partner with Peraton?') and routes to a web form ('Have a Question? ... contact us using the link below'). Best partner/scouting intake for Peraton.
partnership,Raft (teamraft.com),Contact Us,General inbox,info@teamraft.com,https://teamraft.com/contact/,email,"General inbox on the Contact Us page, whose text explicitly invites partnership inquiries: '...exploring a partnership, or just want to connect, reach out...'. Best published email for Raft partner outreach since the partner form page publishes none."
partnership,Raft (teamraft.com),Partner Program contact form,,,https://teamraft.com/partner-program-contact-us/,portal,"This is the Raft Partner Program intake. Page text: 'Fill out the form to connect with our partnerships team' with an Email field - form-only, no address published. NOTE: no email appears anywhere on this page; the 403-to-curl is bypassed via r.jina.ai."
partnership,Rebellion Defense,Corporate contact,General,inquiries@rebelliondefense.com,https://rebelliondefense.com/,email,Contact-form recipient address published in the page source
partnership,Rebellion Defense,On-site contact form,,,https://rebelliondefense.com/#contact,portal,Footer/nav 'CONTACT US' anchor on the homepage - there is no /contact page (returns 404). Form-only intake; no partner/ecosystem program page found.
partnership,RTX,BBN Technologies (applied research),,,https://www.rtx.com/what-we-do/bbn-technologies,portal,RTX BBN Technologies page; no public email - routes to /contacts
partnership,RTX,Defense Innovation,,,https://www.rtx.com/what-we-do/defense-innovation,portal,RTX Defense Innovation page; no public email published
partnership,RTX,RTX Ventures,,,https://www.rtx.com/what-we-do/rtx-ventures,portal,RTX Ventures page; no public email published
partnership,SAIC,SAIC Partnerships,-,,https://www.saic.com/who-we-are/about-saic/partnerships,portal,No email published and no dedicated partner form - page content is JS-rendered with only a generic 'Contact Us' link to https://www.saic.com/contact-us.
partnership,Scale AI,Public sector / national security sales (alliance + partner inquiries),Sales/partnership intro,,https://scale.com/contact,portal,Only channel found. Page text: 'Join leading enterprises partnering with Scale AI. Book a 1:1 intro call with us to get started.' JS-only site; no email address in HTML. Covers national security / US public sector.
partnership,Scale AI,Data partnership program,,,https://scale.com/data-partnership,portal,"Data-partnership page; intake by form, no public email found"
partnership,Second Front Systems,2F Partner Program,,,https://www.secondfront.com/partners/,portal,The actual 'Second Front Partner Program: Access the Public Sector & DoD Products' page. Publishes NO email (raw HTML and rendered both checked); routes to the site contact form. Their partner-referral page (https://www.secondfront.com/partners/partner-referral/) likewise has no email.
licensing,Battelle,Battelle Technology Commercialization / IP licensing,Partnering and IP licensing,solutions@battelle.org,https://inside.battelle.org/blog-details/accelerating-innovation-how-to-increase-speed-and-reduce-risk-for-technology-transfer,email,"Battelle-published: ""Companies interested in partnering with Battelle for joint IP development, or purchasing or licensing existing IP, can contact us at solutions@battelle.org."" Best in-scope Battelle address found."
licensing,Boeing,Intellectual Property Management (IPM),Licensing team,IPM-Licensing@boeing.com,https://www.boeing.com/licensing,email,Boeing IP licensing inquiries - the real technology-transfer/licensing intake
licensing,Boeing,Intellectual Property Management (IPM),Software licensing,IPM@boeing.com,https://www.boeing.com/licensing,email,Boeing software licensing inquiries
licensing,Boeing,Intellectual Property Management (IPM),Copyright/patent/licensing,ipmcpl@boeing.com,https://www.boeing.com/licensing,email,Boeing copyright/patent/licensing questions
licensing,Boeing,Boeing licensing questionnaires,Licensing application portal,,https://licensing.boeingservices.com/licensingquestionnaire,portal,Exact portal URL published on the Boeing licensing page as the required first step for all non-simulator licensing inquiries.
licensing,Boeing,Boeing simulator licensing,Simulator licensing portal,,https://licensing.boeingservices.com/simulatorlicensingquestionnaire,portal,"Separate questionnaire for flight-training-device manufacturers, end users and maintenance providers."
licensing,Lockheed Martin,Lockheed Martin Technology Licensing,Licensing request web form,,https://www.lockheedmartin.com/en-us/lockheed-martin-technology-licensing.html,portal,"Official technology-licensing page with a 'Licensing Request' web form (contact details, organization, licensing request dropdown). No email published."
licensing,MITRE,Technology Transfer Office (TTO),Tech transfer / IP licensing intake,techtransfer@mitre.org,https://www.mitre.org/our-impact/intellectual-property/augmented-reality-guidance-system-args,email,"Published as ""to inquire about licensing opportunities, contact our Technology Transfer Office at techtransfer@mitre.org"" - independently confirmed on 3 MITRE IP pages (ARGS, SAFER, UMAA Compliance Solution). Genuine mailto link."
licensing,MITRE,Technology Transfer Office (TTO),TTO contact form route,,https://www.mitre.org/contact-us#paragraph-5366,portal,"MITRE's stated TTO route: ""Contact MITRE's Technology Transfer Office by selecting 'Technology Transfer' on the Contact Us form."" TTO offers no separate mailbox beyond techtransfer@mitre.org found on the IP pages."
licensing,Northrop Grumman,Brand Licensing,Brand licensing intake,brand.licensing@ngc.com,https://news.northropgrumman.com/contact,email,Listed under 'Brand Licensing' on Northrop's own media contacts page. Trademark/brand licensing only - NOT technology licensing or tech scouting.
licensing,RTX,"RTX Patent Licensing (60,000+ patents)",Licensing inquiries - email obfuscated,,https://www.rtx.com/contacts/licensing,portal,"RTX licensing page exposes only Cloudflare-protected mailto links rendered as '[email protected]'. No plaintext address is published, so none is recorded here (deliberately not decoded)."
program,MITRE,National Security Engineering Center (NSEC) FFRDC,Defense & Intelligence program contact,NSEC@mitre.org,https://www.mitre.org/contact-us,email,"MITRE's DoD-focused FFRDC (sponsor listed as Department of War) program contact on the Work With Us page, alongside CAASD/HSSEDI/HealthFFRDC. Program contact, not a startup-scouting office."
product,Parsons,Cybersecurity,General,cybersecurity@parsons.com,https://www.parsons.com/contact-us/,email,Cybersecurity business inquiries mailbox
contracts,Carahsoft,Contracts / vendor onboarding,Contracts team,contracts@carahsoft.com,https://www.carahsoft.com/become-a-partner,email,Contracts mailbox on the 'Become a Partner' page; Carahsoft is the dominant federal software distributor/reseller channel into DoD
contracts,ManTech,GSA and GWAC contract-vehicle inquiries,GSA/GWAC inquiries (named mailbox),Charlie.Caldwell@MANTECH.com,https://www.mantech.com/contact,email,"Contact page section 'GSA and GWAC Inquiries'. Contract-vehicle channel only - not innovation, scouting, or partnerships."
contracts,MITRE,Contracts,Contracting / acquisition,contracts@mitre.org,https://www.mitre.org/contact-us,email,"MITRE contracts contact published on the Work With Us page. Contracting/procurement channel, not innovation or tech scouting."
sales,Carahsoft,Sales,Sales team,sales@carahsoft.com,https://www.carahsoft.com/become-a-partner,email,Sales mailbox on the 'Become a Partner' page
sales,Hadrian,Sales / business development,Sales team,sales@hadrian.co,https://www.hadrian.co/contact,email,Sales contact; Hadrian is a defense-industrial prime with its own supplier base
policy,MITRE,Government Relations,Government relations,GovernmentRelations@mitre.org,https://www.mitre.org/contact-us,email,"Listed in MITRE's specialized contact information on the Work With Us page. Policy/government-relations channel, adjacent to but not part of the partnership office."
general,Altana AI,Corporate,General,info@altana.ai,https://www.altana.ai/contact,email,General inquiries mailbox
general,Arcfield,Corporate,General,contact@arcfield.com,https://www.arcfield.com/contact-us,email,General corporate contact mailbox
general,Battelle,Corporate / partnerships,General,connect@battelle.org,https://www.battelle.org/contact,email,General connect mailbox; Battelle commercialization and partnership intake
general,Forterra,Corporate,General,info@forterra.com,https://forterra.com/contact,email,General and website-inquiry mailbox
general,General Dynamics Mission Systems,Corporate contact,,,https://gdmissionsystems.com/contact-us,portal,"Corporate contact page; only media mailbox (mediainfo@gd-ms.com) is published, no innovation contact"
general,Kodiak Robotics,Corporate,General,contact@kodiak.ai,https://kodiak.ai/contact,email,General contact mailbox
general,Mach Industries,Corporate,General,meet@machindustries.com,https://machindustries.com/contact,email,Primary contact button mailbox on the contact page
general,Mercury Systems,Corporate web inquiries,General,website@mrcy.com,https://www.mrcy.com/contact,email,General website/corporate inquiry mailbox
general,Noblis,Corporate,General,answers@noblis.org,https://www.noblis.org/contact/,email,General inquiries mailbox on the corporate contact page
general,Second Front Systems,Corporate,General,info@secondfront.com,https://secondfront.com/contact,email,General inquiries mailbox
general,ThunderCat Technology,Corporate,General,info@thundercattech.com,https://www.thundercattech.com/contact,email,General contact mailbox; federal integrator
webmaster,Deloitte,Deloitte Ecosystems & Alliances,Shared contact-form / webmaster routing,uswebmaster@deloitte.com,https://www.deloitte.com/us/en/alliances.html,email,"Deloitte's shared contact-form recipient ('Form Email' hidden field) and site webmaster. General routing mailbox, NOT a partner-program contact - last resort only. Appears on the alliances page and gov-public page."
hr,CFD Research,Human resources / general,HR,HR@cfd-research.com,https://www.cfd-research.com/careers,email,HR mailbox only - not a BD channel; listed because no partner mailbox exists
media,Accenture Federal Services,Accenture Federal Services media relations (Newsroom PR contacts),AFS media inbox (no named individual),media@afs.com,https://newsroom.accenture.com/pr-contacts,email,Listed as the 'ACCENTURE FEDERAL SERVICES' entry on Accenture's PR-contacts page; decoded from Cloudflare obfuscation on that page. PRESS/MEDIA ONLY - not the AFS innovation or partnership team.
press,Altana AI,Media relations,Press,press@altana.ai,https://www.altana.ai/contact,email,Press inquiries only
media,Anduril Industries,Press Kit,Press/media inquiries,media@anduril.com,https://www.anduril.com/press,email,"PRESS ONLY. Page meta + on-page text: 'For press and media inquiries, please contact: media@anduril.com'. Not a business-development or partner channel."
press,BAE Systems Inc.,BAE Systems Inc. media relations,Paul Roberts (media relations),paul.a.roberts@baesystems.us,https://www.nasdaq.com/press-release/bae-systems-awarded-$12-million-to-boost-effectiveness-of-radio-frequency-based,email,"Named contact in the BAE Systems Inc. release footer ('For more information, please contact'). Press only - not a FAST Labs partnership channel. baesystems.com blocks automated fetching, so contact block was read from the syndicated release."
press,BAE Systems Inc.,BAE Systems Inc. media relations,Andrew Eversden (media relations),andrew.eversden@baesystems.us,https://www.nasdaq.com/press-release/bae-systems-continues-building-critical-structures-columbia-class-submarines-2025-04,email,Named contact in the BAE Systems Inc. release footer. Press only.
press,Forterra,Media relations,Press,press@forterra.com,https://forterra.com/contact,email,Press inquiries only
press,General Dynamics,GDIT Emerging Technology - partner and venture programs,Oliver Nutt (Media Relations),Oliver.Nutt@gdit.com,https://www.gdit.com/about-gdit/press-releases/gdit-enhances-emerging-and-commercial-technology-programs/,email,Published media-relations contact on the release announcing GDIT's emerging-technology program and startup/VC partner intake (VP Emerging Technology: Geoffrey Williams; VP technology solutions and alliance partnerships: Mathew Soltis). Media only.
press,General Dynamics,General Dynamics Mission Systems,Media info mailbox,mediainfo@gd-ms.com,https://gdmissionsystems.com/articles/2017/08/21/introducing-techscout-for-suppliers,email,"GDMS media address on the 2017 'TechScout' open-innovation release. Media only AND 2017 vintage - likely stale, verify before use."
press,Hadrian,Media relations,Press,press@hadrian.co,https://www.hadrian.co/contact,email,Press inquiries only
media,HII (Huntington Ingalls Industries),HII Media Contacts - Corporate,Danny Hernandez - Director of Public Affairs,Danny.J.Hernandez@hii-co.com,https://hii.com/newsroom#mediacontacts,email,Listed under 'Media Contacts' on HII's newsroom page. Note the hii-co.com domain (not hii.com). PRESS/MEDIA ONLY.
media,HII (Huntington Ingalls Industries),HII Media Contacts - Mission Technologies,Greg McCarthy - Media contact,Gregory.J.Mccarthy@hii-co.com,https://hii.com/newsroom#mediacontacts,email,Listed under 'Media Contacts' on HII's newsroom page as the Mission Technologies contact. PRESS/MEDIA ONLY - not the Mission Technologies innovation/partnership team.
media,HII (Huntington Ingalls Industries),HII Media Contacts - Ingalls Shipbuilding,Kimberly Aguillard - Media contact,Kimberly.K.Aguillard@hii-co.com,https://hii.com/newsroom#mediacontacts,email,Listed under 'Media Contacts' on HII's newsroom page for Ingalls Shipbuilding. PRESS/MEDIA ONLY.
media,HII (Huntington Ingalls Industries),HII Media Contacts - Newport News Shipbuilding,Todd Corillo - Media contact,Todd.T.Corillo@hii-co.com,https://hii.com/newsroom#mediacontacts,email,Listed under 'Media Contacts' on HII's newsroom page for Newport News Shipbuilding. PRESS/MEDIA ONLY.
press,Kodiak Robotics,Media relations,Press,press@kodiak.ai,https://kodiak.ai/contact,email,Press inquiries only
press,L3Harris,Corporate Media Relations,Corporate media line (Sara Banda),Media@L3Harris.com,https://www.l3harris.com/newsroom,email,"L3Harris publishes only media contacts - no innovation, ventures, corporate-development or partnership email exists on its site. This corporate media line is the only general published mailbox and appears in every BusinessWire release footer."
press,L3Harris,Newsroom media contacts,Christina Hoggatt (media relations),Christina.Hoggatt@L3Harris.com,https://www.l3harris.com/newsroom,email,Press only - listed on the L3Harris newsroom contacts block.
press,L3Harris,Newsroom media contacts,Sharon Parsley (media relations),Sharon.Parsley@L3Harris.com,https://www.l3harris.com/newsroom,email,Press only - listed on the L3Harris newsroom contacts block.
press,L3Harris,Newsroom media contacts,Eileen Lainez (media relations),Eileen.Lainez@L3Harris.com,https://www.l3harris.com/newsroom,email,Press only - listed on the L3Harris newsroom contacts block.
press,L3Harris,Space and Mission Systems - media contact,Elizabeth Silva (media relations),Elizabeth.Silva@L3Harris.com,https://markets.ft.markitdigital.com/data/announce/full?dockey=600-202608121400BIZWIRE_USPRX____20260812_BW600437-1,email,Press only - from the 'Media Contacts' footer of a BusinessWire release mirrored on FT markets.
press,L3Harris,Corporate media contact,Meaghan Cox (media relations),Meaghan.Cox@L3Harris.com,https://markets.ft.markitdigital.com/data/announce/full?dockey=600-202606241615BIZWIRE_USPRX____20260624_BW309409-1,email,Press only - from the 'Media Contacts' footer of a BusinessWire release mirrored on FT markets.
media,Leidos,Leidos Media Relations,"Melissa Duenas - Senior Vice President, Communications",melissa.l.duenas@leidos.com,https://www.leidos.com/authors/media-relations,email,"Official Leidos Media Contacts listing. PRESS/MEDIA ONLY - not the innovation, tech scouting or Alliance Partner Network team."
media,Leidos,Leidos Media Relations,"Thomas Doheny - Director, Strategic Communications",dohenyt@leidos.com,https://www.leidos.com/authors/media-relations,email,Official Leidos Media Contacts listing (note the unusual mailbox format dohenyt@). PRESS/MEDIA ONLY - not the innovation or partner team.
press,Lockheed Martin,LM Ventures - international fund expansion (press),Melissa Mathews (International Media Relations),International.Media@lmco.com,"https://news.lockheedmartin.com/2026-07-16-Lockheed-Martin-Earmarks-100-Million-for-Venture-Capital-Investments-in-U-K-,-Europe",email,"Only published Lockheed address tied to LM Ventures: 'For further information: Melissa Mathews, International.Media@lmco.com' on the $100M UK/Europe venture-fund release. Press/international media only."
press,MITRE,Media Relations,Press / media only,media@mitre.org,https://www.mitre.org/contact-us,email,"""For press and media inquiries, email us at media@mitre.org."" PRESS ONLY - not a business-development or partnering channel. Listed only for completeness."
press,Northrop Grumman,Corporate News Bureau,Media/news bureau,newsbureau@ngc.com,https://news.northropgrumman.com/contact,email,"Corporate news bureau mailbox. Press/media only; Northrop publishes no innovation, ventures or technology-scouting email."
press,Northrop Grumman,Aeronautics Systems - media contact,Matt Seyler (media relations),matthew.seyler@ngc.com,https://news.northropgrumman.com/contact,email,Sector media contact with direct phone on the corporate media contacts page. Press only - not a technology partnership channel.
press,Northrop Grumman,Defense Systems - media contact,Krista Alestock (media relations),krista.alestock@ngc.com,https://news.northropgrumman.com/contact,email,Sector media contact. Press only.
press,Northrop Grumman,Mission Systems - media contact,Jenn Womble (media relations),jennifer.womble@ngc.com,https://news.northropgrumman.com/contact,email,Sector media contact. Press only.
press,Northrop Grumman,Space Systems - media contact,Haley Johnson (media relations),haley1.johnson@ngc.com,https://news.northropgrumman.com/contact,email,Sector media contact. Press only.
press,Northrop Grumman,Space Systems - media contact,Caroline Mays (media relations),caroline.mays@ngc.com,https://news.northropgrumman.com/contact,email,Sector media contact. Press only.
