category,org,unit_or_program,person_or_role,email,source_url,channel_type,notes
army-cso,Army Applications Laboratory (AAL),VERTEX (AAL event),n/a,,https://vertex.aal.mil/,event,AAL's VERTEX event site (subdomain of aal.mil). No email found on the page. Event/engagement surface.
army-cso,Army Applications Laboratory (AAL),AAL industry overview,n/a,,https://aal.mil/industry/,portal,Explains AAL solicitation/application process for industry. Links 'Open Opportunities'. No email for BD; intake is via forms/portals.
army-cso,Army xTech / xTechSearch,xTech contact form,n/a,,https://xtech.army.mil/contact-us/,portal,"ONLY published contact channel for xTech. Web form with subject dropdown: Website Help / General Question / xTech Program Question / Question about Competitions. NO EMAIL ADDRESS APPEARS ANYWHERE on xtech.army.mil (checked home, about, competitions, xtechsearch, xtechprime, faq, getinvolved, accelerator)."
army-cso,Army xTech / xTechSearch,xTech submission/evaluation system (Valid Eval),n/a,,https://usg.valideval.com/teams/xtechsearch10/signup,portal,"OFFICIAL xTech white-paper SUBMISSION PORTAL. Per xTech FAQ: 'the website will showcase a Submit Now button that will direct you to the xTech evaluation system, Valid Eval'. This is the signup URL for xTechSearch 10."
army-cso,Army xTech / xTechSearch,xTechSearch program mailbox (historical),The xTechSearch Team,usarmy.pentagon.hqda-asa-alt.mbx.xtechsearch@mail.mil,https://sam.gov/opp/72dfb974bde24daca167e730bd99c3fe/view,email,"Historical xTechSearch team mailbox on SAM notice (xTechSearch 5, pub 2020-09-16; also on RCCTO Innovation Day #3 notice). Legacy mail.mil domain, notice inactive - likely DEFUNCT. Verify before use."
army-cso,Army xTech / xTechSearch,xTechSearch 10 competition,n/a,,https://xtech.army.mil/competition/xtechsearch10/,portal,xTechSearch 10 competition page (flagship xTech competition). Routes to Valid Eval for submission.
army-cso,Army xTech / xTechSearch,G-TEAD Accelerated Capability Event (W912CM-26-S-GTEADACE),Aaron Ritter; Chris (John C.) Paitson,aaron.m.ritter.civ@army.mil,https://sam.gov/opp/9b5538e4ce79425cb339989afd47723f/view,email,"SAM POC for Global Tactical Edge Acquisition Directorate event (pub 2026-06-24). Also john.c.paitson.civ@army.mil. xTech-adjacent Army acquisition channel; per-notice POC, not a standing BD mailbox."
army-cso,Army xTech / xTechSearch,G-TEAD Accelerated Capability Event (W912CM-26-S-GTEADACE),Chris (John C.) Paitson,john.c.paitson.civ@army.mil,https://sam.gov/opp/9b5538e4ce79425cb339989afd47723f/view,email,SAM POC on same notice. Per-notice contracting POC.
army-cso,Army Futures Command (AFC),AFC official website,n/a,,https://www.army.mil/futuresandconceptscommand,portal,"NOT FETCHABLE THIS SESSION: all www.army.mil URLs returned HTTP 403 (Akamai 'Access Denied') including /rccto, /asaalt, /paefires, /devcom. Did not bypass. Searched result title indicates AFC branding may now be 'Futures and Concepts Command'."
army-cso,Army Futures Command (AFC),'Submitting solutions' portal referenced by DEVCOM,n/a,,https://armyfuturescommand.com/convergence/,portal,"UNVERIFIED - TREAT WITH CAUTION. DEVCOM's own contact page (https://ac.devcom.army.mil/contact-us/) says: 'Submitting solutions: https://armyfuturescommand.com/convergence/, click on Click here to Submit Solutions.' BUT this URL returned 404 this session, and armyfuturescommand.com serves a WordPress/Jetpack blog with 'admin' bylines and comment threads - it is NOT a .mil domain. Listed because official .mil pages link it; verify legitimacy."
army-cso,Army Futures Command (AFC),AFC public contact / industry engagement mailbox,unknown,,https://www.army.mil/futuresandconceptscommand,email,NOT FOUND. Could not retrieve any AFC public contact or industry-engagement mailbox - army.mil blocked (403) and no AFC email surfaced in any fetch or search snippet this session.
army-cso,Army RCCTO,RCCTO BAA (W56JSR-18-S-0001),Paul A. Kemp,paul.a.kemp5.civ@mail.mil,https://sam.gov/opp/ac065fbfd2d3451acd4aa963b270fc5e/view,email,"Primary POC on the RCCTO Broad Agency Announcement (pub 2019-07-31). Legacy mail.mil domain, notice inactive - may be STALE. Historically RCCTO's main industry contact."
army-cso,Army RCCTO,RCCTO Industry Open House,Paul A. Kemp,paul.a.kemp5.civ@mail.mil,https://sam.gov/opp/7a556149dde04ed1d36dfadc520a34ad/view,event,"Point of contact for RCCTO Industry Open House (pub 2019-05-31). EVENT/registration/coordination POC, not a general BD mailbox. Legacy mail.mil, stale."
army-cso,Army RCCTO,RCCTO Innovation Day #3,Paul A. Kemp,paul.a.kemp5.civ@mail.mil,https://sam.gov/opp/0d4b7539ed764347ba2f9f72a99b051f/view,event,"POC for RCCTO Innovation Day #3 (pub 2021-05-19). Event coordination only. Legacy mail.mil, stale."
army-cso,Army RCCTO,Enduring-High Energy Laser (E-HEL) Industry Day (W50RAJ-EHEL),Sydney Horn; Tracy Elliott,sydney.m.horn.civ@army.mil,https://sam.gov/opp/96acef0e214e4a0fa47d15afc3ea7feb/view,event,"Current-era RCCTO industry day POC (pub 2025-09-23). Also tracy.d.elliott2.ctr@army.mil and barbara.a.cantrell2.civ@army.mil. INDUSTRY DAY COORDINATION, not standing BD inbox."
army-cso,Army RCCTO,Common Autonomous Multidomain Launcher (CAML) RFSB (W50RAJ-25-CAML-RFSB),Joshua E. Flinn; Abigail (Abbie) Chatelain,joshua.e.flinn.civ@army.mil,https://sam.gov/opp/d20744b9640d4c4aad159952750ae53e/view,email,RCCTO Request for Solutions Brief POCs (pub 2025-06-27). Also abigail.e.chatelain.civ@army.mil. Per-solicitation solution-submission POCs - the closest thing to a current RCCTO industry channel.
army-cso,Army RCCTO,Common Autonomous Multidomain Launcher (CAML) RFSB (W50RAJ-25-CAML-RFSB),Abigail (Abbie) Chatelain,abigail.e.chatelain.civ@army.mil,https://sam.gov/opp/d20744b9640d4c4aad159952750ae53e/view,email,Second POC on same RCCTO RFSB notice.
army-cso,Army RCCTO,RCCTO org status / leadership,RCCTO merged into Portfolio Acquisition Executive FIRES (PAE Fires),,https://www.army.mil/article/289024/a_new_chapter_in_army_acquisition_rccto_peo_ms_and_additional_elements_merge_into_pae_fires,portal,"IMPORTANT ORG CHANGE: search results (army.mil article 289024, not directly fetchable - army.mil 403) indicate RCCTO, PEO MS and other elements MERGED into 'PAE Fires' (Portfolio Acquisition Executive FIRES), landing page https://www.army.mil/paefires#org-rccto-portfolio. Verify current org before outreach. No RCCTO public contact email or contact page found."
army-cso,Army CSO,Army Advanced Manufacturing (AdvM) CSO (W9124P26SC001) - ACC-RSA,Stephanie Dillon,usarmy.redstone.acc.mbx.acc-rsa-advm-cso@army.mil,https://sam.gov/opp/7f9b0cd559494155a50c7e5af0f11bbd/view,email,"ACTIVE Army Commercial Solutions Opening (published 2026-08-28, active at time of fetch). Named primary POC Stephanie Dillon. This is a genuine CSO submission/questions mailbox - best current Army CSO email found. Note: the notice says the Active Capability Gap (ACG) portion mailbox is in the attached document Section 4.1."
army-cso,Army CSO,ACC-Detroit Arsenal Strategic Services Branch CSO (W912CH25SC001),Kelsey Greenwell; Elida Kellezi,kelsey.d.greenwell.civ@army.mil,https://www.fbodaily.com/archive/2026/04-April/19-Apr-2026/FBO-07782848.htm,email,"U.S. Army Contracting Command - Detroit Arsenal (ACC-DTA) Strategic Services Branch CSO, solicitation W912CH25SC001, response due 6/30/2030. Seen in Loren Data SAM Daily mirror of the SAM.gov special notice (SAM.gov itself is a JS SPA - no email in raw HTML). Second POC: elida.kellezi.civ@army.mil. Phones 571-588-8898 / 571-588-8882."
army-cso,Army CSO,ACC-Detroit Arsenal Strategic Services Branch CSO (W912CH25SC001),Elida Kellezi,elida.kellezi.civ@army.mil,https://www.fbodaily.com/archive/2026/04-April/19-Apr-2026/FBO-07782848.htm,email,Second named POC on the same ACC-DTA CSO notice (mirror page).
army-cso,Army CSO,PM EW&C Call for Solutions / EMSO CSO (W56KGY-REWSI) - CPE ISW,Contracting/Agreements Officer and Specialist (EMSO CSO KO),usarmy.apg.cpe-isw.mbx.emso-cso-ko@army.mil,https://sam.gov/opp/3b354d22054e4c12b673cd8bcab39143/view,email,"ACTIVE (pub 2026-04-23) Call for Solutions for PM Electromagnetic Warfare & Collection. Notice instructs: 'Questions are to be sent only to the Contracting/Agreements Officer and Specialist (POCs) listed', subject 'Call for Solution - EMSO CoN Capabilities'. Also named POCs Raymond Bailey (raymond.c.bailey2.civ@army.mil) and Kristen N. Robertson (kristen.n.robertson4.civ@army.mil). Tied to Army Open Solicitation W9128Z-25-S-A002."
army-cso,Army CSO,PM EW&C Call for Solutions (W56KGY-REWSI),Raymond Bailey,raymond.c.bailey2.civ@army.mil,https://sam.gov/opp/3b354d22054e4c12b673cd8bcab39143/view,email,Named individual POC on the active PM EW&C Call for Solutions.
army-cso,Army CSO,PM EW&C Call for Solutions (W56KGY-REWSI),Kristen N. Robertson,kristen.n.robertson4.civ@army.mil,https://sam.gov/opp/3b354d22054e4c12b673cd8bcab39143/view,email,Named individual POC on the active PM EW&C Call for Solutions.
army-cso,Army CSO,ACC-Red River Army Depot OIB Modernization CSO (W911RQ22C0005),Adam Ragland; Robert Lamb,adam.s.ragland.civ@army.mil,https://sam.gov/opp/61306c8c50464b68bb9e32f208c07ac1/view,email,U.S. Army Contracting Command - Red River Army Depot Organic Industrial Base Modernization CSO. INACTIVE notice (pub 2022). Second POC robert.l.lamb10.civ@army.mil. Useful only as a template of an Army CSO contracting POC.
army-cso,Army CSO,ACC-Red River Army Depot OIB Modernization CSO (W911RQ22C0005),Robert Lamb,robert.l.lamb10.civ@army.mil,https://sam.gov/opp/61306c8c50464b68bb9e32f208c07ac1/view,email,Second POC on same inactive ACC-RRAD CSO notice.
army-cso,Army CSO,Army Open Solicitation W9128Z-25-S-A002,n/a,,https://sam.gov/opp/3b354d22054e4c12b673cd8bcab39143/view,portal,"Referenced inside the PM EW&C Call for Solutions as 'the Army's Open Solicitation, W9128Z-25-S-A002'. No direct URL or mailbox captured for the umbrella solicitation itself - look it up on SAM.gov by number."
army-cso,Army CSO,ERDC Cold Regions Research and Engineering Laboratory CSO (W913E526SC001),Melodie Fisher,melodie.y.fisher@usace.army.mil,https://sam.gov/opp/6b9d2930d059441a840be83d782ecf9f/view,email,"ACTIVE USACE/ERDC CSO (pub 2026-01-12). Named POC plus a functional CSO mailbox CRREL-CSO@usace.army.mil. ERDC is a Corps of Engineers lab, not DEVCOM - adjacent but different chain."
army-cso,Army CSO,ERDC CRREL CSO (W913E526SC001),CRREL CSO mailbox,CRREL-CSO@usace.army.mil,https://sam.gov/opp/6b9d2930d059441a840be83d782ecf9f/view,email,Functional (non-personal) CSO submission mailbox for the ERDC Cold Regions lab. Good example of a standing CSO inbox.
army-cso,Army CSO,APBI 2025 (Advance Planning Briefing to Industry) registration - CECOM,APBI registration mailbox,usarmy.apg.cecom.mbx.apbi-registration@army.mil,https://sam.gov/opp/95d2e3cb4c00483cbf4b9ab3a01a0363/view,event,"Army APBI (Advance Planning Briefing to Industry) REGISTRATION mailbox only. Event registration, NOT business development and NOT solicitations."
army-cso,DEVCOM,DEVCOM HQ Partnerships & Technology Transfer Division,Partnerships Division mailbox,DEVCOM_Partnerships@army.mil,https://devcom.army.mil/partner-with-us/,email,"BEST DEVCOM BD CHANNEL. Official page: 'To learn more about partnerships and technology transfer opportunities with DEVCOM, contact our Science & Technology Integration Office' and 'To submit solutions: Send an email to DEVCOM_Partnerships@army.mil'. Confirmed on both /partner-with-us/ and /contact-us/."
army-cso,DEVCOM,DEVCOM HQ S&T Integration - Partnerships and Technology Transfer Divisions,Collier Slade (Partnerships Division),usarmy.apg.devcom.mbx.g3-global-enterprise@army.mil,https://ac.devcom.army.mil/contact-us/,email,"Partnerships Division mailbox listed with named POC Collier Slade on the Armaments Center-hosted DEVCOM contact list. Alternate/related to DEVCOM_Partnerships@army.mil - report both, they differ by page."
army-cso,DEVCOM,DEVCOM HQ Technology Transfer Group,Technology Transfer Group mailbox,usarmy.apg.devcom.mbx.hq-technology-transfer@army.mil,https://ac.devcom.army.mil/contact-us/,email,"Technology Transfer Group mailbox (licensing DEVCOM-patented IP, CRADAs). Partnering/tech-transfer - relevant to BD."
army-cso,DEVCOM,DEVCOM SPARX technology submission program,SPARX Team,SPARX@army.mil,https://devcom.army.mil/partner-with-us/,email,"SPARX = DEVCOM's always-open technology submission process (submissions matched to Army experimentation events). Page: 'For additional information, email the SPARX Team at SPARX@army.mil'; submit via SPARX Technology Overview Template on SAM.gov. STRONG BD CHANNEL."
army-cso,DEVCOM,DEVCOM HQ Public Affairs Office,DEVCOM HQ Public Affairs Office,usarmy.apg.devcom.mbx.public-affairs-office@army.mil,https://devcom.army.mil/contact-us/,email,"PUBLIC AFFAIRS mailbox - media/press inquiries, NOT business development."
army-cso,DEVCOM,DEVCOM HQ Congressional Affairs Office,Mr. Mike Lugo,michael.s.lugo2.civ@army.mil,https://ac.devcom.army.mil/contact-us/,email,Congressional Affairs named POC. Legislative liaison - NOT a BD channel for vendors. Functional mailbox usarmy.apg.devcom-hq.mbx.congressional-affairs@army.mil on the same page.
army-cso,DEVCOM,DEVCOM HQ Congressional Affairs Office,Congressional Affairs Office mailbox,usarmy.apg.devcom-hq.mbx.congressional-affairs@army.mil,https://devcom.army.mil/contact-us/,email,Functional congressional-affairs mailbox. NOT business development.
army-cso,DEVCOM,DEVCOM HQ Office of the Inspector General,"Mr. Albert M. LaBella, IG",usarmy.apg.devcom.mbx.inspector-general@army.mil,https://ac.devcom.army.mil/contact-us/,email,INSPECTOR GENERAL mailbox - complaints/whistleblower. NOT business development. Phones (410) 306-2410 / (410) 278-5022.
army-cso,DEVCOM,DEVCOM Army Research Laboratory (ARL) Public Affairs,ARL Public Affairs Office,public_affairs@arl.army.mil,https://devcom.army.mil/contact-us/,email,"ARL PUBLIC AFFAIRS mailbox - media inquiries, NOT BD. Named ARL POC on the same list: Mr. Tom Moyer (thomas.a.moyer4.civ@army.mil)."
army-cso,DEVCOM,DEVCOM Army Research Laboratory (ARL) Public Affairs,Mr. Tom Moyer,thomas.a.moyer4.civ@army.mil,https://ac.devcom.army.mil/contact-us/,email,Named ARL public affairs POC. NOT a BD mailbox.
army-cso,DEVCOM,ARL Open Campus program,ARL Public Affairs Office (Open Campus),OpenCampus@arl.army.mil,https://sam.gov/opp/78f5c53257259a4b0caea48c49230ada/view,email,"ARL Open Campus Open House notice: 'Please contact the ARL Public Affairs Office at OpenCampus@arl.army.mil with any questions.' This is the Army OPEN CAMPUS contact found. Notice is from 2016 (inactive) - may be stale, but it is a distinct Open Campus mailbox."
army-cso,DEVCOM,ARL 'Collaborate With Us',n/a,,https://arl.devcom.army.mil/collaborate-with-us/,portal,ARL collaboration page. NO EMAIL ADDRESS found in the page HTML. ARL also links an external CRM portal: https://cftste.experience.crmforce.mil/arlext/s/contact-us (Salesforce-based ARL EXT contact form).
army-cso,DEVCOM,DEVCOM C5ISR Center Public Affairs,C5ISR Public Affairs Office,usarmy.apg.devcom-c5isr.mbx.pao@army.mil,https://devcom.army.mil/contact-us/,email,C5ISR Center PUBLIC AFFAIRS mailbox - NOT business development.
army-cso,DEVCOM,DEVCOM C5ISR Center Public Affairs (legacy address),C5ISR Public Affairs Office,usarmy.apg.ccdc-c5isr.mbx.pao@army.mil,https://ac.devcom.army.mil/contact-us/,email,Legacy 'ccdc-c5isr' variant of the C5ISR PAO mailbox (pre-DEVCOM renaming). Appears as a mailto href on the Armaments Center contact page. Prefer the devcom-c5isr variant.
army-cso,DEVCOM,DEVCOM Chemical Biological Center (CBC) Technology Transfer Office,CBC Technology Transfer Office,usarmy.cbc.techtransfer@army.mil,https://devcom.army.mil/contact-us/,email,CBC TECHNOLOGY TRANSFER mailbox - partnering/licensing/CRADA with a DEVCOM lab. Genuinely BD-relevant (unlike the PAO boxes). Named PAO POC on list: Ms. Amanda Hess.
army-cso,DEVCOM,DEVCOM Ground Vehicle Systems Center (GVSC) Public Affairs,GVSC Public Affairs Office,GVSC_Public_Affairs@army.mil,https://devcom.army.mil/contact-us/,email,GVSC PUBLIC AFFAIRS mailbox - NOT BD. Named GVSC PAO POC: Mr. Jerome Aliotta (jerome.aliotta.civ@army.mil).
army-cso,DEVCOM,DEVCOM Ground Vehicle Systems Center (GVSC) Public Affairs,Mr. Jerome Aliotta,jerome.aliotta.civ@army.mil,https://ac.devcom.army.mil/contact-us/,email,Named GVSC public affairs POC (Detroit Arsenal). NOT a BD mailbox.
army-cso,DEVCOM,DEVCOM Soldier Center (SC) Public Affairs,SC Public Affairs Office,usarmy.natick.devcom-sc.mbx.public-affairs@army.mil,https://devcom.army.mil/contact-us/,email,Soldier Center (Natick) PUBLIC AFFAIRS mailbox - NOT BD. Named POC: Mr. David Accetta.
army-cso,DEVCOM,DEVCOM Armaments Center (AC) Public Affairs,Picatinny Public Affairs Office,usarmy.pica.devcom-ac.mbx.picatinny-public-affairs@army.mil,https://devcom.army.mil/contact-us/,email,"Armaments Center PUBLIC AFFAIRS mailbox - NOT BD. Named POC Mr. Tim Rider, phone 973-724-6364. The contact page explicitly says that for business/academic/government/international COLLABORATION contacts you must use the main DEVCOM partnerships route instead."
army-cso,DEVCOM,DEVCOM Aviation & Missile Center (AvMC) Public Affairs,Ms. Jennifer Ivey-Harper,jennifer.j.ivey-harper.civ@army.mil,https://ac.devcom.army.mil/contact-us/,email,Named AvMC public affairs POC (Redstone). Also the functional ORTA mailbox usarmy.redstone.ccdc-avmc.mbx.orta@army.mil. NOT a BD mailbox despite 'ORTA' naming.
army-cso,DEVCOM,DEVCOM Aviation & Missile Center (AvMC) Public Affairs,ORTA mailbox,usarmy.redstone.ccdc-avmc.mbx.orta@army.mil,https://devcom.army.mil/contact-us/,email,"Listed under AvMC Public Affairs on the DEVCOM HQ contact page. Labelled public affairs - treat as PAO, not BD."
army-cso,DEVCOM,DEVCOM Analysis Center (DAC) Public Affairs,Mr. Kyle Bond,kyle.w.bond.civ@army.mil,https://ac.devcom.army.mil/contact-us/,email,Named DEVCOM Analysis Center public affairs POC. Functional mailbox usarmy.apg.ccdc-dac.mbx.public-affairs@army.mil. NOT BD. Note dac.devcom.army.mil did not resolve/connect this session (connection failed).
army-cso,DEVCOM,DEVCOM Analysis Center (DAC) Public Affairs,DAC Public Affairs Office,usarmy.apg.ccdc-dac.mbx.public-affairs@army.mil,https://ac.devcom.army.mil/contact-us/,email,DAC public affairs functional mailbox - NOT BD.
army-cso,DEVCOM,DEVCOM Global,n/a,,https://devcom.army.mil/partner-with-us/devcom-global/,portal,DEVCOM Global partnering sub-page (international/global partnerships). No email found in the fetched HTML; route via DEVCOM_Partnerships@army.mil.
army-cso,DEVCOM,DEVCOM HQ official contact page,n/a,,https://devcom.army.mil/contact-us/,portal,Official DEVCOM HQ contact page - the single richest source found (14+ mailboxes). Organized by subordinate organization with named POCs and postal addresses.
army-cso,DEVCOM,DEVCOM Armaments Center contact page,n/a,,https://ac.devcom.army.mil/contact-us/,portal,"Armaments Center-hosted A-Z DEVCOM contact list WITH named individuals (17 emails, 15 mailto links). Richer than the HQ page - includes named POCs for partnerships, congressional affairs, IG, and each lab's PAO."
army-cso,Army AI2C,AI2C Broad Agency Announcement (BAA) submissions - CURRENT,AI2C BAA submissions mailbox,usarmy.pittsburgh-pa.futures-cmd.mbx.ai2c-baa-submissions@army.mil,https://sam.gov/opp/75ac2ea6b5f743388731c6cd7b45428d/view,email,CURRENT AI2C BAA SUBMISSIONS MAILBOX. Notice W519TC-24-S-XXXX states the submissions email was CHANGED to this address. Use THIS one. Named POCs on notice: Joseph A. Artioli (Joseph.a.artioli.civ@army.mil) and Taylor A. Gross (taylor.a.gross2.civ@army.mil). Strong BD channel.
army-cso,Army AI2C,AI2C Broad Agency Announcement (BAA) submissions - SUPERSEDED,AI2C BAA submissions (old address),ai2c_baa_submissions@army.mil,https://sam.gov/opp/75ac2ea6b5f743388731c6cd7b45428d/view,email,"SUPERSEDED. Notice text: 'The email is changed from ai2c_baa_submissions@army.mil to usarmy.pittsburgh-pa.futures-cmd.mbx.ai2c-baa-submissions@army.mil'. Do NOT use this one, but it may still forward."
army-cso,Army AI2C,AI2C office mailbox (visits/events),AI Integration Office Communication Office,usarmy.pittsburgh-pa.ai2c.mbx.ai2c-business-inquiries@army.mil,https://devcom.army.mil/contact-us/,email,"CAREFUL: this is the actual mailto href in DEVCOM's contact-page markup, but the LINK TEXT DISPLAYED on the page is 'AI2C_Visits_Events_Request@army.mil'. Both strings were literally seen. The mailbox name says 'business-inquiries' but the displayed/described purpose is visits and events, not BD."
army-cso,Army AI2C,AI2C office mailbox (as displayed),AI Integration Office Communication Office,AI2C_Visits_Events_Request@army.mil,https://devcom.army.mil/contact-us/,email,"The visibly DISPLAYED address for the AI2C office mailbox (the underlying mailto href is usarmy.pittsburgh-pa.ai2c.mbx.ai2c-business-inquiries@army.mil). Purpose: visits and events requests. AI2C address: 6425 Penn Avenue, Suite 400, Pittsburgh PA 15206."
army-cso,Army AI2C,AI2C official site,n/a,,https://ai2c.army.mil/,portal,AI2C official site is LIVE and fetchable. Its own /contact-us/ and /who-we-are/ URLs returned 404 - no dedicated contact page found. Nav shows Contact Us (likely an anchor/menu item). No email in the homepage HTML.
army-cso,Army Software Factory (ASF),Soldier Led Software Factory solicitation (W911NF21S0006),Proposal submission inbox,usarmy.rtp.ccdc-arl.mbx.aro-software-factory@mail.mil,https://sam.gov/opp/df67109769034ed5a48c1192dd5b4da6/view,email,"PROPOSAL SUBMISSION INBOX for the 'Soldier Led Software Factory' solicitation (2021, ARL/ARO Raleigh NC). Notice amendments explicitly direct proposals to this inbox. Legacy mail.mil domain and notice is INACTIVE (2021) - likely stale. Closest thing found to an Army Software Factory program mailbox."
army-cso,Army Software Factory (ASF),Soldier Led Software Factory solicitation (W911NF21S0006),CHRISTOPHER JUSTICE,christopher.d.justice4.civ@mail.mil,https://sam.gov/opp/52e67facf3084e8d85a61582dbb2143d/view,email,"Named POC (phone 919-549-4287) on the same Software Factory solicitation. Legacy mail.mil, stale. Also appears as POC on ARL Open Campus notices."
army-cso,Army Software Factory (ASF),Army Software Factory public website,n/a,,https://armysoftwarefactory.com/,portal,"EFFECTIVELY EMPTY: the page returns HTTP 200 but only ~23 characters of visible text ('Army Software Factory') - a JS shell with no content, no contact info, no email. Not usable for outreach as fetched."
army-cso,Army Software Factory (ASF),Army Software Factory - official .mil page,n/a,,https://www.army.mil/article/289972/army_acc_partnership_extended_for_army_software_factory,portal,"Article 'Army & ACC: partnership extended for Army Software Factory' found via search. army.mil returned 403 to direct fetch this session, so it could not be read for a contact. NO Software Factory public email or contact page found this session."
army-cso,Army Contracting Command (ACC),ACC-Redstone / ACC-RSA CSO mailbox,Stephanie Dillon,usarmy.redstone.acc.mbx.acc-rsa-advm-cso@army.mil,https://sam.gov/opp/7f9b0cd559494155a50c7e5af0f11bbd/view,email,This is the ACC contracting mailbox for the active Army Advanced Manufacturing CSO (see army-cso rows). ACC's own website (acc.army.mil / www.acc.army.mil) TIMED OUT / did not connect this session - no ACC general contact page or general BD mailbox could be retrieved.
army-cso,Army Contracting Command (ACC),ACC-Detroit Arsenal Strategic Services Branch,Kelsey Greenwell; Elida Kellezi,kelsey.d.greenwell.civ@army.mil,https://www.fbodaily.com/archive/2026/04-April/19-Apr-2026/FBO-07782848.htm,email,"ACC-DTA CSO contracting POCs (also listed under Army CSO). Contracting officers, so they field CSO questions but are not a general industry-engagement desk."
army-cso,Army SBIR/STTR,Army SBIR/STTR Program contact,n/a,,https://armysbir.army.mil/contact-us/,portal,"armysbir.army.mil is fetchable but publishes NO EMAIL ADDRESS anywhere (checked home + contact page). Contact is a web form only, with subject dropdown: Website Help / General Army SBIR Program Question / General Army STTR Program Question / Question about Topics / Submit a Success Story."
army-cso,Army SBIR/STTR,Small Business Outreach / SBIR-STTR-RIF industry training events,Sharon R. Morrow,Sharon.R.Morrow.civ@mail.mil,https://sam.gov/opp/cefc93e57385c87538e5047ffca18700/view,event,"Named POC on ~10 Army SBIR/STTR 'Training for Industry' outreach events (2017-2019). Event POC only, legacy mail.mil, all notices inactive - likely stale."
