category,org,program_or_office,person_or_role,email,source_url,channel_type,notes
partnership,Deloitte,Deloitte Ecosystems & Alliances,Shared contact-form / webmaster routing,uswebmaster@deloitte.com,https://www.deloitte.com/us/en/alliances.html,email,"Deloitte's shared contact-form recipient ('Form Email' hidden field) and site webmaster. General routing mailbox, NOT a partner-program contact - last resort only. Appears on the alliances page and gov-public page."
partnership,ManTech,ManTech Products / Commercial Services,Products inquiries,Commercial.Services@mantech.com,https://www.mantech.com/contact,email,Published on the ManTech contact page under 'Products'. Closest published general business-development channel; ManTech publishes no innovation/ventures/partner mailbox. SBLO@MANTECH.com on same page is out of scope.
partnership,ManTech,GSA and GWAC contract-vehicle inquiries,GSA/GWAC inquiries (named mailbox),Charlie.Caldwell@MANTECH.com,https://www.mantech.com/contact,email,"Contact page section 'GSA and GWAC Inquiries'. Contract-vehicle channel only - not innovation, scouting, or partnerships."
scouting,MITRE,Bridging Innovation,Startup / nontraditional-source scouting intake,,https://www.mitre.org/our-impact/partnerships/bridging-innovation/contact-us,portal,"MITRE's program to connect startups and regional innovation ecosystems to federal needs. Web form asks technology area, target federal agency, what you are seeking. Most relevant MITRE entry point for a small software company; NO email published."
licensing,MITRE,Technology Transfer Office (TTO),TTO contact form route,,https://www.mitre.org/contact-us#paragraph-5366,portal,"MITRE's stated TTO route: ""Contact MITRE's Technology Transfer Office by selecting 'Technology Transfer' on the Contact Us form."" TTO offers no separate mailbox beyond techtransfer@mitre.org found on the IP pages."
partnership,MITRE,Partnerships,"""Interested in partnering with MITRE?"" form",,https://www.mitre.org/contact-us#paragraph-5366,portal,"General partnering inquiry form linked from the Partnerships page. Note MITRE also runs mpn.mitre.org (Partnership Network login, partners-only)."
venture,Noblis,Noblis Ventures Intake,Ventures intake form,,https://www.noblis.org/contact/,portal,"Noblis Ventures intake tab asks ""Why do you think Noblis Ventures would be a good partner for your company? (1000 word max)"". Form is the primary channel; ventures@noblis.org also published there."
venture,Maximus,Maximus Ventures,Startup investment intake (Seed-Series C),,https://app.smartsheet.com/b/form/ce74181baf61418f8b2d06e1b83727d4,portal,Smartsheet application form linked from maximus.com/ventures. Maximus Ventures invests in Seed-Series C govtech startups with joint sales/product development potential. No email published anywhere on the page.
partnership,Maximus,Strategic Alliance Partnerships,'Join our alliance partners' intake form,,https://app.smartsheet.com/b/form/d8da4c11b6a1458db9fbb25c9dca9735,portal,"Smartsheet intake form linked from maximus.com/alliance-partnerships for technology alliance partners (AWS, Salesforce, Genesys, ServiceNow, SuccessKPI). No email published."
innovation,Maximus,Maximus Innovation Center,Innovation Center page,,https://www.maximus.com/maximus-innovation-center,portal,Maximus Innovation Center page carries no published email address; routes to the general Contact Us form. Note many /innovation-style URLs on maximus.com return a 404 page - use this exact URL.
partnership,ICF,ICF Technology Partner Ecosystem,General contact form,,https://www.icf.com/contact-us,portal,ICF publishes NO partner or innovation email. The partner ecosystem page (icf.com/company/about/partners/partnership-ecosystem) routes to this general Contact Us form with a 'Reason for contacting ICF' selector. Site is an Angular app; emails are not in page source.
partnership,KBR,KBR corporate contact,Contact form only,,https://www.kbr.com/en/contact-us,portal,KBR's contact page is form-only - no email anywhere in the fetched page text. Site returns 406/0 bytes to plain curl and had to be read via the reader proxy. No innovation/technology-partnership mailbox found.
partnership,Amentum,Amentum contact / Partnerships,Capability-specific contact forms,,https://www.amentum.com/contact-us/,portal,Amentum's 'Partners' navigation link points at this contact page (tabbed by capability). The ONLY mailboxes published are employeeverification@amentum.com and siv@amentum.com (Afghan SIV) - both irrelevant. No innovation or partner email exists. Site is Cloudflare-blocked; read via reader proxy.
partnership,ManTech,ManTech Our Partners,Partner showcase page,,https://www.mantech.com/our-partners/,portal,ManTech partner page lists partner logos/pages only (e.g. Google Cloud partnership) - no partner-program or innovation mailbox published anywhere on mantech.com.
partnership,Deloitte,Deloitte Ecosystems & Alliances,Alliance program page,,https://www.deloitte.com/us/en/alliances.html,portal,Deloitte's ecosystem/alliances overview publishes no partner mailbox - only the shared webmaster/contact-form address. No Deloitte Ventures contact page found (candidate URLs 404).
venture,MITRE Engenuity,MITRE Engenuity,UNRESOLVED - site unreachable,,https://mitre-engenuity.org/,portal,"mitre-engenuity.org returns HTTP 403 to both curl and the r.jina.ai reader proxy (Cloudflare challenge) in this session. No contact channel verified - recorded as unresolved, NOT as a confirmed contact. Do not treat as a live channel without re-verification."
