category,org,program_or_office,person_or_role,email,source_url,channel_type,notes
portal,Leidos,Leidos partner / alliance program,,,https://www.leidos.com/company/partners,portal,"Leidos partner and alliance page; no public email published"
portal,CACI,Partners,,,https://www.caci.com/partners,portal,"CACI partner page; no public email published"
portal,Northrop Grumman,Northrop Grumman Business Ventures,,,https://www.northropgrumman.com/who-we-are/business-ventures,portal,"NG Business Ventures page; no public email - routes to the general contact form"
portal,RTX,BBN Technologies (applied research),,,https://www.rtx.com/what-we-do/bbn-technologies,portal,"RTX BBN Technologies page; no public email - routes to /contacts"
portal,RTX,Defense Innovation,,,https://www.rtx.com/what-we-do/defense-innovation,portal,"RTX Defense Innovation page; no public email published"
portal,RTX,RTX Ventures,,,https://www.rtx.com/what-we-do/rtx-ventures,portal,"RTX Ventures page; no public email published"
portal,MITRE,Bridging Innovation,,,https://www.mitre.org/our-impact/partnerships/bridging-innovation/contact-us,portal,"MITRE Bridging Innovation startup/tech-scouting contact form (JS form, no email published)"
portal,MITRE,MITRE Partnership Network,,,https://mpn.mitre.org/,portal,"MITRE Partnership Network partner portal login"
portal,MITRE,Partnerships office,,,https://www.mitre.org/our-impact/partnerships,portal,"MITRE partnership inquiries routed to the /contact-us form; no public mailbox"
portal,Govini,Corporate contact,,,https://www.govini.com/contact,portal,"Contact form only; no public email"
portal,Scale AI,Data partnership program,,,https://scale.com/data-partnership,portal,"Data-partnership page; intake by form, no public email found"
portal,General Dynamics Mission Systems,Corporate contact,,,https://gdmissionsystems.com/contact-us,portal,"Corporate contact page; only media mailbox (mediainfo@gd-ms.com) is published, no innovation contact"
partnership,Iron Bow,Partner Alliance Program,Partner alliance team,partneralliance@ironbow.com,https://www.ironbow.com/partners,email,"Dedicated partner-alliance mailbox published as the 'Let's Talk' mailto on the Partner Alliance page; federal integrator/reseller channel for small software vendors"
partnership,Carahsoft,Contracts / vendor onboarding,Contracts team,contracts@carahsoft.com,https://www.carahsoft.com/become-a-partner,email,"Contracts mailbox on the 'Become a Partner' page; Carahsoft is the dominant federal software distributor/reseller channel into DoD"
partnership,Carahsoft,Sales,Sales team,sales@carahsoft.com,https://www.carahsoft.com/become-a-partner,email,"Sales mailbox on the 'Become a Partner' page"
partnership,ThunderCat Technology,Corporate,General,info@thundercattech.com,https://www.thundercattech.com/contact,email,"General contact mailbox; federal integrator"
partnership,CFD Research,Human resources / general,HR,HR@cfd-research.com,https://www.cfd-research.com/careers,email,"HR mailbox only - not a BD channel; listed because no partner mailbox exists"
